name,team,age,pos,games,gamesStarted,targets,receptions,catchPercentage,yards,yardsPerRec,td,long,recPerGame,yardPerGame,fumbles
ADRIAN PETERSON,MIN,31,RB,2,2,5,2,40.0,7,3.5,0,7,1.0,3.5,0
RUSSELL SHEPARD,TAM,26,"",2,0,2,2,100.0,16,8.0,0,10,1.0,8.0,0
JAMES STARKS,GNB,30,"",2,0,2,2,100.0,22,11.0,0,16,1.0,11.0,0
JONATHAN STEWART,CAR,29,RB,2,2,3,2,66.7,7,3.5,0,7,1.0,3.5,0
LEVINE TOILOLO,ATL,25,"",2,0,2,2,100.0,21,10.5,0,16,1.0,10.5,0
ROBERT TURBIN,IND,27,"",2,0,3,2,66.7,15,7.5,0,12,1.0,7.5,0
DEANDRE WASHINGTON,OAK,23,"",2,0,2,2,100.0,16,8.0,0,10,1.0,8.0,0
JAMES WRIGHT,CIN,25,"",2,0,2,2,100.0,17,8.5,0,10,1.0,8.5,0
JARED ABBREDERIS,GNB,26,"",2,0,1,1,100.0,8,8.0,0,8,0.5,4.0,0
MATT ASIATA,MIN,29,"",2,0,1,1,100.0,11,11.0,0,11,0.5,5.5,0
BLAKE BELL,SFO,25,"",2,0,2,1,50.0,6,6.0,0,6,0.5,3.0,0
ARRELIOUS BENN,JAX,28,"",2,0,2,1,50.0,9,9.0,0,9,0.5,4.5,0
KAPRI BIBBS,DEN,23,"",2,0,2,1,50.0,6,6.0,0,6,0.5,3.0,0
DEVONTAE BOOKER,DEN,24,"",2,0,1,1,100.0,5,5.0,0,5,0.5,2.5,1
QUAN BRAY,IND,23,"",2,0,1,1,100.0,7,7.0,0,7,0.5,3.5,0
MALCOLM BROWN,LAR,"","",2,0,1,1,100.0,8,8.0,0,8,0.5,4.0,0
BRICE BUTLER,DAL,26,"",2,0,3,1,33.3,16,16.0,0,16,0.5,8.0,0
KA'DEEM CAREY,CHI,24,"",2,0,1,1,100.0,3,3.0,0,3,0.5,1.5,0
BRENT CELEK,PHI,31,TE,2,1,2,1,50.0,11,11.0,0,11,0.5,5.5,0
ORLEANS DARKWA,NYG,24,"",2,0,1,1,100.0,3,3.0,0,3,0.5,1.5,0
MIKE DAVIS,SFO,23,"",2,0,1,1,100.0,10,10.0,0,10,0.5,5.0,0
PATRICK DIMARCO,ATL,27,FB,2,1,1,1,100.0,8,8.0,0,8,0.5,4.0,0
ALEX ERICKSON,CIN,24,"",2,0,1,1,100.0,20,20.0,0,20,0.5,10.0,0
TYLER ERVIN,HOU,23,"",2,0,2,1,50.0,5,5.0,0,5,0.5,2.5,0
ANTHONY FASANO,TEN,32,TE,2,1,3,1,33.3,1,1.0,0,1,0.5,0.5,0
D.J. FOSTER,NWE,23,"",1,0,2,1,50.0,2,2.0,0,2,1.0,2.0,0
BLAINE GABBERT,SFO,27,QB,2,2,1,1,100.0,-16,-16.0,0,-16,0.5,-8.0,0
JIMMY GAROPPOLO,NWE,25,QB,2,2,1,1,100.0,3,3.0,0,3,0.5,1.5,2
COREY GRANT,JAX,25,"",2,0,1,1,100.0,15,15.0,1,15,0.5,7.5,0
RYAN GRANT,WAS,26,"",2,0,2,1,50.0,5,5.0,0,5,0.5,2.5,0
JONATHAN GRIMES,HOU,27,"",2,0,3,1,33.3,13,13.0,0,13,0.5,6.5,0
HUNTER HENRY,SDG,22,TE,2,1,2,1,50.0,20,20.0,0,20,0.5,10.0,0
DARRIUS HEYWARD-BEY,PIT,29,"",2,0,2,1,50.0,7,7.0,0,7,0.5,3.5,0
TYLER HIGBEE,LAR,23,"",2,0,4,1,25.0,2,2.0,0,2,0.5,1.0,0
TIM HIGHTOWER,NOR,30,"",2,0,1,1,100.0,1,1.0,0,1,0.5,0.5,0
ANDRE HOLMES,OAK,28,"",2,0,4,1,25.0,6,6.0,1,6,0.5,3.0,0
JOHNNY HOLTON,OAK,25,"",2,0,1,1,100.0,4,4.0,0,4,0.5,2.0,0
JOSH HUFF,PHI,25,WR,2,1,4,1,25.0,-1,-1.0,0,-1,0.5,-0.5,0
ANDY JANOVICH,DEN,23,"",2,0,1,1,100.0,11,11.0,0,11,0.5,5.5,0
DAVID JOHNSON,PIT,29,"",2,0,1,1,100.0,5,5.0,0,5,0.5,2.5,0
EDDIE LACY,GNB,26,RB,2,2,3,1,33.3,17,17.0,0,17,0.5,8.5,0
TOMMYLEE LEWIS,NOR,24,"",1,0,1,1,100.0,-1,-1.0,0,-1,1.0,-1.0,0
RYAN MATHEWS,PHI,29,RB,2,1,1,1,100.0,3,3.0,0,3,0.5,1.5,0
BRANDON MYERS,TAM,31,"",2,0,1,1,100.0,4,4.0,1,4,0.5,2.0,0
JJ NELSON,ARI,24,"",1,0,2,1,50.0,11,11.0,0,11,1.0,11.0,0
CORDARRELLE PATTERSON,MIN,25,"",2,0,1,1,100.0,6,6.0,0,6,0.5,3.0,0
NILES PAUL,WAS,27,"",2,0,1,1,100.0,16,16.0,0,16,0.5,8.0,0
C.J. PROSISE,SEA,22,"",1,0,1,1,100.0,13,13.0,0,13,1.0,13.0,0
ANDRE ROBERTS,DET,28,"",2,0,1,1,100.0,8,8.0,0,8,0.5,4.0,0
DENARD ROBINSON,JAX,26,"",2,0,2,1,50.0,7,7.0,0,7,0.5,3.5,0
CECIL SHORTS,TAM,29,"",2,0,2,1,50.0,12,12.0,0,12,0.5,6.0,0
DION SIMS,MIA,25,"",2,0,1,1,100.0,21,21.0,0,21,0.5,10.5,0
KEITH SMITH,DAL,24,"",2,0,2,1,50.0,5,5.0,0,5,0.5,2.5,0
ROD STREATER,SFO,28,"",2,0,2,1,50.0,13,13.0,0,13,0.5,6.5,0
PHILLIP SUPERNAW,TEN,26,"",2,0,1,1,100.0,7,7.0,0,7,0.5,3.5,0
JORDAN TAYLOR,DEN,24,"",2,0,1,1,100.0,20,20.0,0,20,0.5,10.0,0
MIKE TOLBERT,CAR,31,"",2,0,2,1,50.0,1,1.0,0,1,0.5,0.5,0
FITZGERALD TOUSSAINT,PIT,26,"",2,0,1,1,100.0,9,9.0,0,9,0.5,4.5,0
